"template_family","runtime_truth","g1_runtime_lane_group","g2_canonical_owner_group","g3_gpt_handoff_group","g4_future_registry_group","merge_policy","audience_type","audience_leak","primary_route","notes"
"paid_reply_guard_defaults","reachable","g1_paid_safety_layers_runtime","g2_assistant_paid_safety_owner","g3_paid_conversation_format_unit|g3_paid_safety_gate_unit","g4_assistant_paid_format_registry_slot|g4_assistant_paid_safety_registry_slot","hard_no_merge","end_user","false","paid assistant/orchestrator output -> sanitizePaidMainReply -> finalizer -> webhook send","This family is a structural guard and strips legacy terms before final delivery."
"answer_readiness_gate_templates","reachable","g1_faq_admin_runtime|g1_faq_compat_runtime|g1_paid_safety_layers_runtime","g2_assistant_paid_safety_owner","g3_faq_admin_answer_unit|g3_faq_compat_answer_unit|g3_paid_safety_gate_unit","g4_faq_admin_registry_slot|g4_faq_compat_registry_slot|g4_assistant_paid_safety_registry_slot","hard_no_merge","mixed","false","reply generated -> answer readiness decision applied -> clarify/refuse/hedged text returned","not_observed"
"required_core_facts_domain_clarify","conditionally_reachable","g1_paid_safety_layers_runtime","g2_assistant_paid_safety_owner","g3_paid_safety_gate_unit","g4_assistant_paid_safety_registry_slot","hard_no_merge","end_user","false","paid orchestrator -> evaluateRequiredCoreFactsGate -> clarify candidate or enforced clarify text","not_observed"
"verify_candidate_clarify_templates","conditionally_reachable","g1_paid_safety_layers_runtime","g2_assistant_paid_safety_owner","g3_paid_safety_gate_unit","g4_assistant_paid_safety_registry_slot","hard_no_merge","end_user","false","paid orchestrator -> verifyCandidate -> clarify candidate / hedged candidate -> finalizeCandidate","not_observed"
"finalize_candidate_fallback_templates","reachable","g1_paid_safety_layers_runtime","g2_assistant_paid_safety_owner","g3_paid_safety_gate_unit","g4_assistant_paid_safety_registry_slot","hard_no_merge","end_user","false","orchestrator selected candidate -> sanitizePaidMainReply -> finalizeCandidate -> applyAnswerReadinessDecision -> final text","not_observed"
"runtime_knowledge_fallback_templates","conditionally_reachable","g1_line_paid_domain_runtime|g1_paid_safety_layers_runtime","g2_assistant_paid_domain_owner","g3_paid_domain_answer_unit","g4_assistant_paid_domain_registry_slot","hard_no_merge","end_user","false","runtime knowledge assembly -> buildRuntimeKnowledgeCandidates -> candidate consumed by reply builder","This family is indirect: candidate text is built here, then consumed downstream by reply pipelines."
"webhook_assistant_top_level_templates","reachable","g1_webhook_top_level_runtime","g2_webhook_top_level_owner","g3_webhook_top_level_unit","g4_webhook_top_level_registry_slot","hard_no_merge","end_user","false","POST /webhook/line -> handleLineWebhook -> handleAssistantMessage / direct command branches -> fixed ack or fallback text","This family mixes assistant fallback, clarify/refuse, synthetic ack, consent ack, and direct command acknowledgements that are all routed from webhookLine."
"line_surface_renderer_defaults","conditionally_reachable","g1_reminder_notification_runtime","g2_line_renderer_default_owner","g3_line_renderer_service_fallback_unit","g4_line_renderer_fallback_registry_slot","hard_no_merge","end_user","false","assistant/journey/notification payload -> line renderer -> fallback text/template/flex defaults","Route tracer observed assistant sends are mostly text today; flex/template defaults remain conditionally reachable through renderer policy and non-assistant flows."
"welcome_message","reachable","g1_webhook_top_level_runtime","g2_notification_owner","g3_welcome_message_unit","g4_notification_registry_slot","hard_no_merge","end_user","false","LINE webhook ensure user -> sendWelcomeMessage -> pushFn","Pure fixed notification text; no dynamic blocks except delivery state."
"notification_renderer_defaults","conditionally_reachable","g1_reminder_notification_runtime","g2_notification_owner","g3_notification_renderer_unit","g4_notification_registry_slot","hard_no_merge","end_user","false","sendNotification -> buildLineNotificationMessage -> text/template buttons LINE payload","Notification titles, bodies, and CTA labels are usually dynamic; this family inventories only preset renderer defaults and join patterns."
"region_line_messages","reachable","g1_task_journey_runtime","g2_journey_task_owner","g3_journey_direct_command_unit","g4_journey_text_registry_slot","hard_no_merge","end_user","false","LINE webhook -> direct command branch -> region message helper -> replyFn","All four strings are hardcoded, runtime-connected direct command replies."
"citypack_feedback_messages","reachable","g1_task_journey_runtime","g2_journey_task_owner","g3_journey_direct_command_unit","g4_journey_text_registry_slot","hard_no_merge","end_user","false","LINE webhook -> city pack feedback direct command -> helper -> replyFn","Two fixed feedback texts only."
"redac_membership_messages","reachable","g1_task_journey_runtime","g2_journey_task_owner","g3_journey_direct_command_unit","g4_journey_text_registry_slot","hard_no_merge","end_user","false","LINE webhook -> membership direct command -> redacLineMessages helper -> replyFn","Each reply is a summary + nextAction pair wrapped by withNextAction()."
"journey_task_detail_defaults","reachable","g1_task_journey_runtime","g2_journey_task_owner","g3_journey_task_surface_unit","g4_journey_task_registry_slot","hard_no_merge","end_user","true","LINE command TODO詳細 / continuation -> taskDetailSectionReply -> replyFn","Current runtime includes admin-facing task-detail wording in user-facing flow."
"task_flex_labels_and_buttons","reachable","g1_task_journey_runtime","g2_journey_task_owner","g3_journey_task_surface_unit","g4_journey_task_registry_slot","hard_no_merge","end_user","false","LINE command/postback -> handleJourneyLineCommand -> renderTaskFlexMessage -> flex reply","All button labels and section labels are fixed preset user-facing text."
"journey_command_replies","reachable","g1_task_journey_runtime","g2_journey_task_owner","g3_journey_direct_command_unit","g4_journey_text_registry_slot","hard_no_merge","end_user","false","LINE message/postback -> parser -> handleJourneyLineCommand / handleJourneyPostback -> fixed replyText or flex payload","This family groups many hardcoded command replies because they share the same parser-driven command surface."
"journey_reminder_message","reachable","g1_reminder_notification_runtime","g2_notification_owner","g3_journey_reminder_unit","g4_notification_registry_slot","hard_no_merge","end_user","true","internal journey reminder job -> buildReminderMessage -> pushFn","Reminder copy includes internal trigger framing in user-facing delivery path."
"blocked_reason_labels","conditionally_reachable","g1_task_journey_runtime","g2_journey_task_owner","g3_journey_task_surface_unit","g4_journey_task_registry_slot","hard_no_merge","mixed","false","task blocked reason code -> blockedReasonJa label map -> downstream task/journey surface if rendered","User-facing label map was observed, but direct runtime surface was not fully traced; therefore conditionally_reachable."
"emergency_message_template","conditionally_reachable","g1_adjacent_emergency_ops_runtime","g2_adjacent_ops_owner","g3_adjacent_emergency_unit","g4_adjacent_ops_registry_slot","hard_no_merge","mixed","false","emergency usecase -> messageTemplates -> downstream bulletin/notification send path","Adjacent runtime family included because it is preset user-facing text, but it is outside the main FAQ/assistant route."
"ops_escalation_default_notification","conditionally_reachable","g1_adjacent_emergency_ops_runtime","g2_adjacent_ops_owner","g3_adjacent_ops_notification_unit","g4_adjacent_ops_registry_slot","hard_no_merge","mixed","true","ops next action execution -> default escalation notification payload","Default English ops escalation notification can mix operator framing into outward notification path."
