leaf_id,current_apply_class,final_partition,closure_class,primary_blocker,all_blockers,why_primary
leaf_paid_finalizer_fallback,literal_apply_candidate,blocked_apply,codex_test_anchor_closure_candidate,weak_exact_string_anchor,weak_exact_string_anchor | weak_output_shape_anchor,文面自体はあるが exact-string anchor 不足を無視して ready にできません。
leaf_paid_finalizer_refuse,literal_apply_candidate,blocked_apply,codex_test_anchor_closure_candidate,weak_exact_string_anchor,weak_exact_string_anchor,文面自体はあるが exact-string anchor 不足を無視して ready にできません。
leaf_paid_readiness_clarify_default,literal_apply_candidate,blocked_apply,codex_test_anchor_closure_candidate,weak_exact_string_anchor,weak_exact_string_anchor | weak_output_shape_anchor | weak_route_contract_anchor,文面自体はあるが exact-string anchor 不足を無視して ready にできません。
leaf_paid_readiness_hedge_suffix,literal_apply_candidate,blocked_apply,codex_test_anchor_closure_candidate,weak_exact_string_anchor,weak_exact_string_anchor | weak_output_shape_anchor | weak_route_contract_anchor,文面自体はあるが exact-string anchor 不足を無視して ready にできません。
leaf_paid_readiness_refuse_default,literal_apply_candidate,blocked_apply,codex_test_anchor_closure_candidate,weak_exact_string_anchor,weak_exact_string_anchor | weak_output_shape_anchor | weak_route_contract_anchor,文面自体はあるが exact-string anchor 不足を無視して ready にできません。
leaf_paid_reply_guard_defaults,parameterized_apply_candidate,ready_after_binding_contract,human_policy_freeze_required,binding_missing_only,binding_missing_only | weak_output_shape_anchor,binding source は観測済みか近接観測済みだが、token contract 未凍結のため昇格できません。
leaf_region_prompt_or_validation,keyed_variant_candidate,blocked_apply,codex_variant_closure_candidate,variant_key_missing_only,variant_key_missing_only | weak_exact_string_anchor | weak_output_shape_anchor | weak_route_contract_anchor,alternate texts は観測済みだが、state key が未凍結です。
leaf_region_state_ack,keyed_variant_candidate,blocked_apply,codex_variant_closure_candidate,binding_and_variant_missing,binding_and_variant_missing | weak_exact_string_anchor | weak_output_shape_anchor | weak_route_contract_anchor,token binding と state key の両方が必要で、どちらも未凍結です。
leaf_task_flex_buttons,keyed_variant_candidate,blocked_apply,human_policy_freeze_required,variant_key_missing_only,variant_key_missing_only | weak_exact_string_anchor | weak_output_shape_anchor | weak_route_contract_anchor,alternate texts は観測済みだが、state key が未凍結です。
leaf_task_flex_labels,keyed_variant_candidate,blocked_apply,human_policy_freeze_required,binding_and_variant_missing,binding_and_variant_missing | weak_exact_string_anchor | weak_output_shape_anchor | weak_route_contract_anchor,token binding と state key の両方が必要で、どちらも未凍結です。
leaf_webhook_consent_state_ack,keyed_variant_candidate,blocked_apply,codex_variant_closure_candidate,variant_key_missing_only,variant_key_missing_only | weak_exact_string_anchor | weak_output_shape_anchor,alternate texts は観測済みだが、state key が未凍結です。
leaf_webhook_direct_command_ack,keyed_variant_candidate,blocked_apply,human_policy_freeze_required,binding_and_variant_missing,binding_and_variant_missing | weak_exact_string_anchor,token binding と state key の両方が必要で、どちらも未凍結です。
leaf_webhook_guard_missing_reply_fallback,literal_apply_candidate,blocked_apply,codex_test_anchor_closure_candidate,weak_exact_string_anchor,weak_exact_string_anchor | weak_output_shape_anchor,文面自体はあるが exact-string anchor 不足を無視して ready にできません。
leaf_webhook_low_relevance_clarify,literal_apply_candidate,blocked_apply,codex_test_anchor_closure_candidate,weak_exact_string_anchor,weak_exact_string_anchor,文面自体はあるが exact-string anchor 不足を無視して ready にできません。
leaf_webhook_readiness_clarify,literal_apply_candidate,blocked_apply,codex_test_anchor_closure_candidate,weak_exact_string_anchor,weak_exact_string_anchor,文面自体はあるが exact-string anchor 不足を無視して ready にできません。
leaf_webhook_readiness_refuse,literal_apply_candidate,blocked_apply,codex_test_anchor_closure_candidate,weak_exact_string_anchor,weak_exact_string_anchor,文面自体はあるが exact-string anchor 不足を無視して ready にできません。
leaf_webhook_retrieval_failure_fallback,literal_apply_candidate,blocked_apply,codex_test_anchor_closure_candidate,weak_exact_string_anchor,weak_exact_string_anchor | weak_output_shape_anchor,文面自体はあるが exact-string anchor 不足を無視して ready にできません。
leaf_webhook_synthetic_ack,literal_apply_candidate,blocked_apply,codex_test_anchor_closure_candidate,weak_exact_string_anchor,weak_exact_string_anchor,文面自体はあるが exact-string anchor 不足を無視して ready にできません。
leaf_welcome_message,literal_apply_candidate,blocked_apply,codex_test_anchor_closure_candidate,weak_exact_string_anchor,weak_exact_string_anchor | weak_route_contract_anchor,文面自体はあるが exact-string anchor 不足を無視して ready にできません。
