leaf_id,route_name,route_path_or_symbol,selector_stage,decision_node,output_shape,runtime_truth,notes
leaf_free_style_weekend,g3_free_retrieval_search_unit,POST /webhook/line free retrieval,urgent regex or urgency=high -> Quick | topic=activity -> Weekend,topic | urgency | journeyPhase | messageLength | timeOfDay | askClarifying | maxActions,plain_text_answer,conditionally_reachable,
leaf_free_style_story,g3_free_retrieval_search_unit,POST /webhook/line free retrieval,urgent regex or urgency=high -> Quick | topic=activity -> Weekend,topic | urgency | journeyPhase | messageLength | timeOfDay | askClarifying | maxActions,plain_text_answer,conditionally_reachable,
leaf_free_contextual_followup,g3_free_contextual_followup_unit,POST /webhook/line free contextual followup,recentActionRows resolve a contextual domain | messageText length <= 16,messageDomainIntent | recentContextDomain | followupIntent | message length,plain_text_answer,conditionally_reachable,Human review remains required because domain claim boundaries live inside one current family.
leaf_paid_casual,g3_paid_casual_unit,POST /webhook/line paid casual,paid plan branch with conversation router selecting casual mode | greeting/smalltalk posture short-circuit to greeting or smalltalk templates,posture | contextHint | followupIntent | recentResponseHints,plain_text_answer,conditionally_reachable,
leaf_paid_domain_concierge,g3_paid_domain_answer_unit,POST /webhook/line paid domain,conversationRouter/orchestrator resolves domain intent | DOMAIN_SPECS selected by domainIntent or fallbackIntent,domainIntent | fallbackIntent | followupIntent | context actions,plain_text_answer,conditionally_reachable,
leaf_runtime_knowledge_fallback,g3_paid_domain_answer_unit,POST /webhook/line paid domain,buildRuntimeKnowledgeCandidates builds synthetic knowledge candidate when knowledge source summary exists | slice selects action and followup line,slice housing|city|followup|other,fallback_text,conditionally_reachable,
leaf_paid_conversation_format_shell,g3_paid_conversation_format_unit,POST /webhook/line paid finalization,generatePaidAssistantReply default path uses conversation format when ENABLE_PAID_ASSISTANT_CONVERSATION_FORMAT_V1 is not disabled | disclaimer appended if present,conversation format flag | outputConstraints | disclaimer,plain_text_answer,reachable,
leaf_paid_reply_guard_defaults,g3_paid_conversation_format_unit,POST /webhook/line paid finalization,sanitizePaidMainReply() invoked before final send | defaults applied when situation line or question line missing,raw replyText | nextActions | pitfall | followupQuestion | conciseMode,fallback_text,reachable,
leaf_paid_disclaimer,g3_paid_disclaimer_unit,POST /webhook/line paid assistant,"getDisclaimer(purpose, { policy }) resolves purpose-specific disclaimer | faq path uses purpose=faq",purpose | llmPolicy.disclaimer_templates,disclaimer_block,reachable,
leaf_paid_readiness_clarify_default,g3_paid_safety_gate_unit,paid orchestrator,applyAnswerReadinessDecision decision=clarify|refuse|hedged|allow | clarifyText/refuseText may be injected by caller; otherwise defaults above apply,decision clarify|refuse|hedged|allow,clarify_prompt,reachable,
leaf_paid_readiness_refuse_default,g3_paid_safety_gate_unit,paid orchestrator,applyAnswerReadinessDecision decision=clarify|refuse|hedged|allow | clarifyText/refuseText may be injected by caller; otherwise defaults above apply,decision clarify|refuse|hedged|allow,refuse_text,reachable,
leaf_paid_readiness_hedge_suffix,g3_paid_safety_gate_unit,paid orchestrator,applyAnswerReadinessDecision decision=clarify|refuse|hedged|allow | clarifyText/refuseText may be injected by caller; otherwise defaults above apply,decision clarify|refuse|hedged|allow,disclaimer_block,reachable,
leaf_paid_safety_core_facts_clarify,g3_paid_safety_gate_unit,paid orchestrator,evaluateRequiredCoreFactsGate() fires when critical facts missing for domain and enforcement path active | domainIntent selects domain-specific clarify text,domainIntent | missing critical facts | enforce/logOnly,clarify_prompt,conditionally_reachable,
leaf_paid_verify_candidate_clarify,g3_paid_safety_gate_unit,paid orchestrator,verifyCandidate() chooses clarify_candidate when selected missing or evidence insufficient | domainIntent + followupIntent may select CLARIFY_FOLLOWUP_BY_DOMAIN direct answer,selected candidate exists | evidenceSufficiency | domainIntent | followupIntent | recentResponseHints,clarify_prompt,conditionally_reachable,
leaf_paid_finalizer_fallback,g3_paid_safety_gate_unit,paid orchestrator,finalizeCandidate() uses fallbackText when selected reply is empty or guard strips it | defaultQuestion used when verificationOutcome=clarify and no followup question remains,verificationOutcome | readinessDecision | selected.kind | atoms,fallback_text,reachable,
leaf_paid_finalizer_clarify,g3_paid_safety_gate_unit,paid orchestrator,finalizeCandidate() uses fallbackText when selected reply is empty or guard strips it | defaultQuestion used when verificationOutcome=clarify and no followup question remains,verificationOutcome | readinessDecision | selected.kind | atoms,clarify_prompt,reachable,
leaf_paid_finalizer_refuse,g3_paid_safety_gate_unit,paid orchestrator,finalizeCandidate() uses fallbackText when selected reply is empty or guard strips it | defaultQuestion used when verificationOutcome=clarify and no followup question remains,verificationOutcome | readinessDecision | selected.kind | atoms,refuse_text,reachable,
leaf_webhook_guard_missing_reply_fallback,g3_webhook_top_level_unit,POST /webhook/line top-level,low relevance gate invokes buildLowRelevanceConversationReply() | guardPaidMainReplyText used when paid reply missing,plan tier | low relevance | readiness | command parser | consent postback,fallback_text,reachable,
leaf_webhook_low_relevance_clarify,g3_webhook_top_level_unit,POST /webhook/line top-level,low relevance gate invokes buildLowRelevanceConversationReply() | guardPaidMainReplyText used when paid reply missing,plan tier | low relevance | readiness | command parser | consent postback,clarify_prompt,reachable,
leaf_webhook_retrieval_failure_fallback,g3_webhook_top_level_unit,POST /webhook/line top-level,low relevance gate invokes buildLowRelevanceConversationReply() | guardPaidMainReplyText used when paid reply missing,plan tier | low relevance | readiness | command parser | consent postback,fallback_text,reachable,
leaf_webhook_readiness_clarify,g3_webhook_top_level_unit,POST /webhook/line top-level,low relevance gate invokes buildLowRelevanceConversationReply() | guardPaidMainReplyText used when paid reply missing,plan tier | low relevance | readiness | command parser | consent postback,clarify_prompt,reachable,
leaf_webhook_readiness_refuse,g3_webhook_top_level_unit,POST /webhook/line top-level,low relevance gate invokes buildLowRelevanceConversationReply() | guardPaidMainReplyText used when paid reply missing,plan tier | low relevance | readiness | command parser | consent postback,refuse_text,reachable,
leaf_webhook_synthetic_ack,g3_webhook_top_level_unit,POST /webhook/line top-level,low relevance gate invokes buildLowRelevanceConversationReply() | guardPaidMainReplyText used when paid reply missing,plan tier | low relevance | readiness | command parser | consent postback,command_ack,reachable,
leaf_webhook_consent_state_ack,g3_webhook_top_level_unit,POST /webhook/line top-level,low relevance gate invokes buildLowRelevanceConversationReply() | guardPaidMainReplyText used when paid reply missing,plan tier | low relevance | readiness | command parser | consent postback,consent_ack,reachable,
leaf_webhook_direct_command_ack,g3_webhook_top_level_unit,POST /webhook/line top-level,low relevance gate invokes buildLowRelevanceConversationReply() | guardPaidMainReplyText used when paid reply missing,plan tier | low relevance | readiness | command parser | consent postback,command_ack,reachable,
leaf_welcome_message,g3_welcome_message_unit,welcome push flow,sendWelcomeMessage() runs once when ensured user has not yet received welcome message,already delivered? | line user ensured?,welcome_text,reachable,
leaf_line_renderer_overflow_summary,g3_line_renderer_service_fallback_unit,renderer fallback,fallbackRenderer used for overflow/service ack | semanticLineMessage chooses flex/template/text by line surface policy,overflow | service ack request | resolveLineSurfacePlan | message object validity,renderer_default_text,conditionally_reachable,
leaf_line_renderer_deeplink_with_url,g3_line_renderer_service_fallback_unit,renderer fallback,fallbackRenderer used for overflow/service ack | semanticLineMessage chooses flex/template/text by line surface policy,overflow | service ack request | resolveLineSurfacePlan | message object validity,renderer_default_text,conditionally_reachable,
leaf_line_renderer_deeplink_generic,g3_line_renderer_service_fallback_unit,renderer fallback,fallbackRenderer used for overflow/service ack | semanticLineMessage chooses flex/template/text by line surface policy,overflow | service ack request | resolveLineSurfacePlan | message object validity,renderer_default_text,conditionally_reachable,
leaf_line_renderer_service_ack,g3_line_renderer_service_fallback_unit,renderer fallback,fallbackRenderer used for overflow/service ack | semanticLineMessage chooses flex/template/text by line surface policy,overflow | service ack request | resolveLineSurfacePlan | message object validity,renderer_default_text,conditionally_reachable,
leaf_line_renderer_generic_headers,g3_line_renderer_service_fallback_unit,renderer fallback,fallbackRenderer used for overflow/service ack | semanticLineMessage chooses flex/template/text by line surface policy,overflow | service ack request | resolveLineSurfacePlan | message object validity,renderer_default_text,conditionally_reachable,
leaf_line_renderer_render_failure,g3_line_renderer_service_fallback_unit,renderer fallback,fallbackRenderer used for overflow/service ack | semanticLineMessage chooses flex/template/text by line surface policy,overflow | service ack request | resolveLineSurfacePlan | message object validity,renderer_default_text,conditionally_reachable,
leaf_notification_body_default,g3_notification_renderer_unit,notification sender,normalizeBody() returns - when title/body absent | normalizeAltText() falls back to notification,preferTemplateButtons | ctas length | body/title presence,notification_text,conditionally_reachable,
leaf_notification_alt_text_default,g3_notification_renderer_unit,notification sender,normalizeBody() returns - when title/body absent | normalizeAltText() falls back to notification,preferTemplateButtons | ctas length | body/title presence,unknown_shape,conditionally_reachable,
leaf_notification_textmode_cta_join,g3_notification_renderer_unit,notification sender,normalizeBody() returns - when title/body absent | normalizeAltText() falls back to notification,preferTemplateButtons | ctas length | body/title presence,notification_text,conditionally_reachable,
leaf_region_prompt_or_validation,g3_journey_direct_command_unit,journey direct command parser,region direct command parser routes to region line messages helpers,command form valid? | already registered?,clarify_prompt,reachable,
leaf_region_state_ack,g3_journey_direct_command_unit,journey direct command parser,region direct command parser routes to region line messages helpers,command form valid? | already registered?,command_ack,reachable,
leaf_citypack_feedback_received,g3_journey_direct_command_unit,journey direct command parser,city pack feedback direct command branch,format valid?,command_ack,reachable,
leaf_citypack_feedback_usage,g3_journey_direct_command_unit,journey direct command parser,city pack feedback direct command branch,format valid?,clarify_prompt,reachable,
leaf_redac_membership_status,g3_journey_direct_command_unit,journey direct command parser,membership command parser + repo state determine status path,status declared|unlinked|not_declared|duplicate|invalid_format|usage|server_misconfigured,command_ack,reachable,
leaf_redac_membership_guidance,g3_journey_direct_command_unit,journey direct command parser,membership command parser + repo state determine status path,status declared|unlinked|not_declared|duplicate|invalid_format|usage|server_misconfigured,clarify_prompt,reachable,
leaf_redac_membership_unavailable,g3_journey_direct_command_unit,journey direct command parser,membership command parser + repo state determine status path,status declared|unlinked|not_declared|duplicate|invalid_format|usage|server_misconfigured,fallback_text,reachable,
leaf_journey_command_validation,g3_journey_direct_command_unit,journey direct command parser,"journey line command parser determines command family | feature flags gate Task OS, regional procedures, task detail, city pack subscription",command enum | feature flags | valid input format | todo state,clarify_prompt,reachable,
leaf_journey_command_state_ack,g3_journey_direct_command_unit,journey direct command parser,"journey line command parser determines command family | feature flags gate Task OS, regional procedures, task detail, city pack subscription",command enum | feature flags | valid input format | todo state,command_ack,reachable,
leaf_journey_command_feature_paused,g3_journey_direct_command_unit,journey direct command parser,"journey line command parser determines command family | feature flags gate Task OS, regional procedures, task detail, city pack subscription",command enum | feature flags | valid input format | todo state,fallback_text,reachable,
leaf_journey_command_support_open,g3_journey_direct_command_unit,journey direct command parser,"journey line command parser determines command family | feature flags gate Task OS, regional procedures, task detail, city pack subscription",command enum | feature flags | valid input format | todo state,command_ack,reachable,
leaf_journey_command_citypack_subscription,g3_journey_direct_command_unit,journey direct command parser,"journey line command parser determines command family | feature flags gate Task OS, regional procedures, task detail, city pack subscription",command enum | feature flags | valid input format | todo state,command_ack,reachable,
leaf_journey_command_todo_status,g3_journey_direct_command_unit,journey direct command parser,"journey line command parser determines command family | feature flags gate Task OS, regional procedures, task detail, city pack subscription",command enum | feature flags | valid input format | todo state,command_ack,reachable,
leaf_journey_command_guidance_hints,g3_journey_direct_command_unit,journey direct command parser,"journey line command parser determines command family | feature flags gate Task OS, regional procedures, task detail, city pack subscription",command enum | feature flags | valid input format | todo state,clarify_prompt,reachable,
leaf_task_detail_defaults_isolate,g3_journey_task_surface_unit,journey task detail and postback,task detail section command path | manualText/failureText presence determines fallback text,section manual|failure|detail | row exists? | continuation index valid?,unknown_shape,reachable,Isolated leak candidate from current user-facing flow.
leaf_task_flex_labels,g3_journey_task_surface_unit,journey task detail and postback,task detail flex path when renderTaskFlexMessage() used,manual/video/failure links present? | title present?,flex_label_set,reachable,
leaf_task_flex_buttons,g3_journey_task_surface_unit,journey task detail and postback,task detail flex path when renderTaskFlexMessage() used,manual/video/failure links present? | title present?,flex_button_set,reachable,
leaf_blocked_reason_labels,g3_journey_task_surface_unit,journey task detail and postback,blocked reason code -> Japanese label map,dependency_unmet|quiet_hours|kill_switch|plan_limit|max_actions|invalid_trigger|fallback,unknown_shape,conditionally_reachable,Direct runtime surface remains conditionally_reachable in the audit.
leaf_journey_reminder_message,g3_journey_reminder_unit,internal reminder jobs,internal reminder job selects due/triggered items | ctaAction becomes 地域手続き or TODO詳細:<todoKey>,triggerType | todo item selected | ctaAction,reminder_text,reachable,
leaf_adjacent_emergency_message,g3_adjacent_emergency_unit,internal emergency jobs,emergency bulletin/message template creation path,severity | regionKey | category,notification_text,conditionally_reachable,
leaf_ops_escalation_title_isolate,g3_adjacent_ops_notification_unit,phase33 ops decision execute,phase33 executeOpsNextAction default notification payload construction,ops escalation required,unknown_shape,conditionally_reachable,
leaf_ops_escalation_body_isolate,g3_adjacent_ops_notification_unit,phase33 ops decision execute,phase33 executeOpsNextAction default notification payload construction,ops escalation required,operator_notification_text,conditionally_reachable,
leaf_ops_escalation_button_isolate,g3_adjacent_ops_notification_unit,phase33 ops decision execute,phase33 executeOpsNextAction default notification payload construction,ops escalation required,flex_button_set,conditionally_reachable,
leaf_policy_override_shadow,g3_policy_override_shadow_unit,ops config policy path,systemFlagsRepo.normalizeLlmPolicy() provides DEFAULT_LLM_POLICY | getDisclaimer() may read llmPolicy.disclaimer_templates,llmPolicy.disclaimer_templates | purpose,unknown_shape,unconfirmed,
leaf_search_kb_replytext_shadow,g3_dead_shadow_unit,shadow only,searchFaqFromKb() computes replyText alongside candidates,mode empty|ranked,unknown_shape,dead_or_test_only,
leaf_paid_assistant_legacy_shadow,g3_dead_shadow_unit,shadow only,legacy formatter selected only when conversation format flag is disabled,conversation format flag,unknown_shape,dead_or_test_only,
leaf_future_quick_reply_surface_slot,not_observed,future surface slot only,quick reply surface may exist dynamically upstream,not_observed,unknown_shape,unknown,future_surface_slot_only
