leaf_id,leaf_status,parent_g3_unit_id,parent_g4_group_id,source_template_family,runtime_truth,primary_route,audience_type,audience_leak,safety_role,output_shape,merge_policy_hint,test_anchor_status,notes
leaf_paid_finalizer_clarify,generate,g3_paid_safety_gate_unit,g4_assistant_paid_safety_registry_slot,finalize_candidate_fallback_templates,reachable,paid orchestrator,end_user,false,clarify,clarify_prompt,hard_no_merge,weak,
leaf_paid_finalizer_refuse,generate,g3_paid_safety_gate_unit,g4_assistant_paid_safety_registry_slot,finalize_candidate_fallback_templates,reachable,paid orchestrator,end_user,false,warning,refuse_text,hard_no_merge,weak,
leaf_webhook_guard_missing_reply_fallback,generate,g3_webhook_top_level_unit,g4_webhook_top_level_registry_slot,webhook_assistant_top_level_templates,reachable,POST /webhook/line top-level,end_user,false,fallback,fallback_text,hard_no_merge,weak,
leaf_webhook_low_relevance_clarify,generate,g3_webhook_top_level_unit,g4_webhook_top_level_registry_slot,webhook_assistant_top_level_templates,reachable,POST /webhook/line top-level,end_user,false,clarify,clarify_prompt,hard_no_merge,weak,
leaf_webhook_retrieval_failure_fallback,generate,g3_webhook_top_level_unit,g4_webhook_top_level_registry_slot,webhook_assistant_top_level_templates,reachable,POST /webhook/line top-level,end_user,false,fallback,fallback_text,hard_no_merge,weak,
leaf_webhook_readiness_clarify,generate,g3_webhook_top_level_unit,g4_webhook_top_level_registry_slot,webhook_assistant_top_level_templates,reachable,POST /webhook/line top-level,end_user,false,warning,clarify_prompt,hard_no_merge,weak,
leaf_webhook_readiness_refuse,generate,g3_webhook_top_level_unit,g4_webhook_top_level_registry_slot,webhook_assistant_top_level_templates,reachable,POST /webhook/line top-level,end_user,false,warning,refuse_text,hard_no_merge,weak,
leaf_webhook_synthetic_ack,generate,g3_webhook_top_level_unit,g4_webhook_top_level_registry_slot,webhook_assistant_top_level_templates,reachable,POST /webhook/line top-level,end_user,false,fallback,command_ack,hard_no_merge,weak,
leaf_webhook_consent_state_ack,generate,g3_webhook_top_level_unit,g4_webhook_top_level_registry_slot,webhook_assistant_top_level_templates,reachable,POST /webhook/line top-level,end_user,false,fallback,consent_ack,hard_no_merge,weak,
leaf_webhook_direct_command_ack,generate,g3_webhook_top_level_unit,g4_webhook_top_level_registry_slot,webhook_assistant_top_level_templates,reachable,POST /webhook/line top-level,end_user,false,fallback,command_ack,hard_no_merge,weak,
leaf_welcome_message,generate,g3_welcome_message_unit,g4_notification_registry_slot,welcome_message,reachable,welcome push flow,end_user,false,notification,welcome_text,hard_no_merge,weak,
leaf_line_renderer_overflow_summary,generate,g3_line_renderer_service_fallback_unit,g4_line_renderer_fallback_registry_slot,line_surface_renderer_defaults,conditionally_reachable,renderer fallback,end_user,false,fallback,renderer_default_text,hard_no_merge,weak,
leaf_line_renderer_deeplink_with_url,generate,g3_line_renderer_service_fallback_unit,g4_line_renderer_fallback_registry_slot,line_surface_renderer_defaults,conditionally_reachable,renderer fallback,end_user,false,fallback,renderer_default_text,hard_no_merge,weak,
leaf_line_renderer_deeplink_generic,generate,g3_line_renderer_service_fallback_unit,g4_line_renderer_fallback_registry_slot,line_surface_renderer_defaults,conditionally_reachable,renderer fallback,end_user,false,fallback,renderer_default_text,hard_no_merge,weak,
leaf_line_renderer_service_ack,generate,g3_line_renderer_service_fallback_unit,g4_line_renderer_fallback_registry_slot,line_surface_renderer_defaults,conditionally_reachable,renderer fallback,end_user,false,fallback,renderer_default_text,hard_no_merge,weak,
leaf_line_renderer_generic_headers,generate,g3_line_renderer_service_fallback_unit,g4_line_renderer_fallback_registry_slot,line_surface_renderer_defaults,conditionally_reachable,renderer fallback,end_user,false,fallback,renderer_default_text,hard_no_merge,weak,
leaf_line_renderer_render_failure,generate,g3_line_renderer_service_fallback_unit,g4_line_renderer_fallback_registry_slot,line_surface_renderer_defaults,conditionally_reachable,renderer fallback,end_user,false,fallback,renderer_default_text,hard_no_merge,weak,
leaf_notification_body_default,generate,g3_notification_renderer_unit,g4_notification_registry_slot,notification_renderer_defaults,conditionally_reachable,notification sender,end_user,false,notification,notification_text,hard_no_merge,weak,
leaf_notification_alt_text_default,generate,g3_notification_renderer_unit,g4_notification_registry_slot,notification_renderer_defaults,conditionally_reachable,notification sender,end_user,false,label,unknown_shape,hard_no_merge,present,
leaf_notification_textmode_cta_join,generate,g3_notification_renderer_unit,g4_notification_registry_slot,notification_renderer_defaults,conditionally_reachable,notification sender,end_user,false,cta,notification_text,hard_no_merge,weak,
leaf_region_prompt_or_validation,generate,g3_journey_direct_command_unit,g4_journey_text_registry_slot,region_line_messages,reachable,journey direct command parser,end_user,false,clarify,clarify_prompt,hard_no_merge,missing,
leaf_region_state_ack,generate,g3_journey_direct_command_unit,g4_journey_text_registry_slot,region_line_messages,reachable,journey direct command parser,end_user,false,cta,command_ack,hard_no_merge,missing,
leaf_citypack_feedback_received,generate,g3_journey_direct_command_unit,g4_journey_text_registry_slot,citypack_feedback_messages,reachable,journey direct command parser,end_user,false,cta,command_ack,hard_no_merge,missing,
leaf_citypack_feedback_usage,generate,g3_journey_direct_command_unit,g4_journey_text_registry_slot,citypack_feedback_messages,reachable,journey direct command parser,end_user,false,clarify,clarify_prompt,hard_no_merge,missing,
leaf_redac_membership_status,generate,g3_journey_direct_command_unit,g4_journey_text_registry_slot,redac_membership_messages,reachable,journey direct command parser,end_user,false,cta,command_ack,hard_no_merge,missing,
leaf_redac_membership_guidance,generate,g3_journey_direct_command_unit,g4_journey_text_registry_slot,redac_membership_messages,reachable,journey direct command parser,end_user,false,clarify,clarify_prompt,hard_no_merge,missing,
leaf_redac_membership_unavailable,generate,g3_journey_direct_command_unit,g4_journey_text_registry_slot,redac_membership_messages,reachable,journey direct command parser,end_user,false,fallback,fallback_text,hard_no_merge,missing,
leaf_journey_command_validation,generate,g3_journey_direct_command_unit,g4_journey_text_registry_slot,journey_command_replies,reachable,journey direct command parser,end_user,false,clarify,clarify_prompt,hard_no_merge,missing,
leaf_journey_command_state_ack,generate,g3_journey_direct_command_unit,g4_journey_text_registry_slot,journey_command_replies,reachable,journey direct command parser,end_user,false,cta,command_ack,hard_no_merge,missing,
leaf_journey_command_feature_paused,generate,g3_journey_direct_command_unit,g4_journey_text_registry_slot,journey_command_replies,reachable,journey direct command parser,end_user,false,fallback,fallback_text,hard_no_merge,missing,
leaf_journey_command_support_open,generate,g3_journey_direct_command_unit,g4_journey_text_registry_slot,journey_command_replies,reachable,journey direct command parser,end_user,false,cta,command_ack,hard_no_merge,missing,
leaf_journey_command_citypack_subscription,generate,g3_journey_direct_command_unit,g4_journey_text_registry_slot,journey_command_replies,reachable,journey direct command parser,end_user,false,cta,command_ack,hard_no_merge,missing,
leaf_journey_command_todo_status,generate,g3_journey_direct_command_unit,g4_journey_text_registry_slot,journey_command_replies,reachable,journey direct command parser,end_user,false,cta,command_ack,hard_no_merge,missing,
leaf_journey_command_guidance_hints,generate,g3_journey_direct_command_unit,g4_journey_text_registry_slot,journey_command_replies,reachable,journey direct command parser,end_user,false,clarify,clarify_prompt,hard_no_merge,missing,
leaf_task_detail_defaults_isolate,isolate_for_human_or_separate_policy,g3_journey_task_surface_unit,g4_journey_task_registry_slot,journey_task_detail_defaults,reachable,journey task detail and postback,end_user,true,mixed,unknown_shape,hard_no_merge,missing,Isolated leak candidate from current user-facing flow.
leaf_task_flex_labels,generate,g3_journey_task_surface_unit,g4_journey_task_registry_slot,task_flex_labels_and_buttons,reachable,journey task detail and postback,end_user,false,label,flex_label_set,hard_no_merge,missing,
leaf_task_flex_buttons,generate,g3_journey_task_surface_unit,g4_journey_task_registry_slot,task_flex_labels_and_buttons,reachable,journey task detail and postback,end_user,false,button,flex_button_set,hard_no_merge,missing,
leaf_blocked_reason_labels,generate,g3_journey_task_surface_unit,g4_journey_task_registry_slot,blocked_reason_labels,conditionally_reachable,journey task detail and postback,end_user,false,label,unknown_shape,hard_no_merge,missing,Direct runtime surface remains conditionally_reachable in the audit.
leaf_journey_reminder_message,isolate_for_human_or_separate_policy,g3_journey_reminder_unit,g4_notification_registry_slot,journey_reminder_message,reachable,internal reminder jobs,end_user,true,notification,reminder_text,hard_no_merge,missing,
leaf_adjacent_emergency_message,generate,g3_adjacent_emergency_unit,g4_adjacent_ops_registry_slot,emergency_message_template,conditionally_reachable,internal emergency jobs,mixed,false,warning,notification_text,hard_no_merge,missing,
leaf_ops_escalation_title_isolate,isolate_for_human_or_separate_policy,g3_adjacent_ops_notification_unit,g4_adjacent_ops_registry_slot,ops_escalation_default_notification,conditionally_reachable,phase33 ops decision execute,mixed,true,label,unknown_shape,hard_no_merge,missing,
leaf_ops_escalation_body_isolate,isolate_for_human_or_separate_policy,g3_adjacent_ops_notification_unit,g4_adjacent_ops_registry_slot,ops_escalation_default_notification,conditionally_reachable,phase33 ops decision execute,mixed,true,notification,operator_notification_text,hard_no_merge,missing,
leaf_ops_escalation_button_isolate,isolate_for_human_or_separate_policy,g3_adjacent_ops_notification_unit,g4_adjacent_ops_registry_slot,ops_escalation_default_notification,conditionally_reachable,phase33 ops decision execute,mixed,true,button,flex_button_set,hard_no_merge,missing,
leaf_policy_override_shadow,exclude_shadow,g3_policy_override_shadow_unit,g4_policy_shadow_registry_slot,policy_override_disclaimer_templates,unconfirmed,ops config policy path,operator,true,disclaimer,unknown_shape,shadow_only,weak,
leaf_search_kb_replytext_shadow,exclude_shadow,g3_dead_shadow_unit,g4_dead_shadow_registry_slot,search_kb_replytext_templates,dead_or_test_only,shadow only,unknown,false,faq,unknown_shape,shadow_only,weak,
leaf_paid_assistant_legacy_shadow,exclude_shadow,g3_dead_shadow_unit,g4_dead_shadow_registry_slot,paid_assistant_legacy_structured_format,dead_or_test_only,shadow only,unknown,false,faq,unknown_shape,shadow_only,present,
leaf_future_quick_reply_surface_slot,unknown,not_observed,g4_dynamic_quick_reply_surface_slot,not_observed,unknown,future surface slot only,unknown,false,unknown,unknown_shape,shadow_only,missing,future_surface_slot_only
