leaf_id,generation_allowed,human_review_required,shadow_excluded,claim_boundary_class,tone_boundary_class,downstream_contract_class,notes
leaf_line_renderer_generic_headers,true,true,false,multi_domain_human_review,fallback,renderer_default_text,
leaf_line_renderer_render_failure,true,false,false,route_specific_fixed_copy,fallback,renderer_default_text,
leaf_notification_body_default,true,false,false,route_specific_fixed_copy,notification,notification_text,
leaf_notification_alt_text_default,true,true,false,multi_domain_human_review,label,unknown_shape,
leaf_notification_textmode_cta_join,true,false,false,route_specific_fixed_copy,cta,notification_text,
leaf_region_prompt_or_validation,true,false,false,route_specific_fixed_copy,clarify,clarify_prompt,
leaf_region_state_ack,true,false,false,route_specific_fixed_copy,cta,command_ack,
leaf_citypack_feedback_received,true,false,false,route_specific_fixed_copy,cta,command_ack,
leaf_citypack_feedback_usage,true,false,false,route_specific_fixed_copy,clarify,clarify_prompt,
leaf_redac_membership_status,true,true,false,multi_domain_human_review,cta,command_ack,
leaf_redac_membership_guidance,true,true,false,multi_domain_human_review,clarify,clarify_prompt,
leaf_redac_membership_unavailable,true,true,false,multi_domain_human_review,fallback,fallback_text,
leaf_journey_command_validation,true,true,false,multi_domain_human_review,clarify,clarify_prompt,
leaf_journey_command_state_ack,true,true,false,multi_domain_human_review,cta,command_ack,
leaf_journey_command_feature_paused,true,true,false,multi_domain_human_review,fallback,fallback_text,
leaf_journey_command_support_open,true,true,false,multi_domain_human_review,cta,command_ack,
leaf_journey_command_citypack_subscription,true,true,false,multi_domain_human_review,cta,command_ack,
leaf_journey_command_todo_status,true,true,false,multi_domain_human_review,cta,command_ack,
leaf_journey_command_guidance_hints,true,true,false,multi_domain_human_review,clarify,clarify_prompt,
leaf_task_detail_defaults_isolate,false,true,false,audience_leak_isolation,operator_or_leak,unknown_shape,Isolated leak candidate from current user-facing flow.
leaf_task_flex_labels,true,false,false,route_specific_fixed_copy,label,flex_label_set,
leaf_task_flex_buttons,true,false,false,route_specific_fixed_copy,button,flex_button_set,
leaf_blocked_reason_labels,true,true,false,multi_domain_human_review,label,unknown_shape,Direct runtime surface remains conditionally_reachable in the audit.
leaf_journey_reminder_message,false,true,false,audience_leak_isolation,operator_or_leak,reminder_text,
leaf_adjacent_emergency_message,true,true,false,multi_domain_human_review,warning,notification_text,
leaf_ops_escalation_title_isolate,false,true,false,audience_leak_isolation,operator_or_leak,unknown_shape,
leaf_ops_escalation_body_isolate,false,true,false,audience_leak_isolation,operator_or_leak,operator_notification_text,
leaf_ops_escalation_button_isolate,false,true,false,audience_leak_isolation,operator_or_leak,flex_button_set,
leaf_policy_override_shadow,false,true,true,shadow_excluded,operator_or_leak,unknown_shape,
leaf_search_kb_replytext_shadow,false,true,true,shadow_excluded,faq,unknown_shape,
leaf_paid_assistant_legacy_shadow,false,true,true,shadow_excluded,faq,unknown_shape,
leaf_future_quick_reply_surface_slot,false,true,false,future_surface_slot_only,unknown,unknown_shape,future_surface_slot_only
